k=( 0.00000, 0.00000, 0.00000),
number of irreducible representations:  2
level=  1    0   2
level=  2    2   0
level=  3    0   2
level=  4    2   0
level=  5    0   2
level=  6    2   0
level=  7    0   2
level=  8    2   0
level=  9    0   1
level= 10    0   1
level= 11    1   0
level= 12    1   0
level= 13    0   1
level= 14    1   1
level= 15    1   0
level= 16    0   1
level= 17    1   1
level= 18    1   0
level= 19    0   1
level= 20    1   1
level= 21    1   0
level= 22    0   1
level= 23    1   1
level= 24    1   0
level= 25    0   1
level= 26    2   1
level= 27    0   1
level= 28    0   1
level= 29    1   0
level= 30    1   0
level= 31    0   1
level= 32    0   1
level= 33    1   0
level= 34    1   0
level= 35    0   1
level= 36    0   1
level= 37    1   0
level= 38    1   0
level= 39    0   1
level= 40    1   0
level= 41    0   1
level= 42    1   0
level= 43    1   0
level= 44    0   1
level= 45    1   0
level= 46    0   1
level= 47    0   1
level= 48    0   1
level= 49    1   0
level= 50    1   0
level= 51    1   0
level= 52    0   1
level= 53    0   1
level= 54    0   1
level= 55    1   0
level= 56    0   1
level= 57    1   0
level= 58    0   1
level= 59    1   0
level= 60    0   1
level= 61    1   0
level= 62    1   0
level= 63    0   1
level= 64    1   0
level= 65    0   1
level= 66    0   1
level= 67    1   0
level= 68    0   1
level= 69    0   1
level= 70    1   0
level= 71    0   1
level= 72    0   1
level= 73    1   0
level= 74    1   0
level= 75    1   0
level= 76    1   0
level= 77    1   0
level= 78    0   1
level= 79    1   0
level= 80    0   1
level= 81    0   1
level= 82    1   0
level= 83    1   0
level= 84    0   1
level= 85    1   0
level= 86    0   1
level= 87    0   1
level= 88    0   1
level= 89    0   1
level= 90    0   1
level= 91    0   1
level= 92    1   0
 
k=( 0.50000, 0.00000, 0.00000),
number of irreducible representations:  2
level=  1    1   1
level=  2    1   1
level=  3    1   1
level=  4    1   1
level=  5    1   1
level=  6    1   1
level=  7    1   1
level=  8    1   1
level=  9    1   1
level= 10    1   1
level= 11    1   1
level= 12    1   1
level= 13    2   2
level= 14    1   1
level= 15    1   1
level= 16    1   1
level= 17    1   1
level= 18    2   2
level= 19    1   1
level= 20    1   1
level= 21    1   1
level= 22    1   1
level= 23    1   1
level= 24    1   1
level= 25    1   1
level= 26    1   1
level= 27    1   1
level= 28    1   1
level= 29    1   1
level= 30    1   1
level= 31    1   1
level= 32    1   1
level= 33    1   1
level= 34    1   1
level= 35    1   1
level= 36    1   1
level= 37    1   1
level= 38    1   1
level= 39    1   1
level= 40    1   1
level= 41    1   1
level= 42    1   1
level= 43    1   1
level= 44    1   1
level= 45    1   1
level= 46    1   1
level= 47    1   1
level= 48    1   1
level= 49    1   1
level= 50    1   1
level= 51    1   1
 
k=( 0.00000, 0.50000, 0.00000),
number of irreducible representations:  2
level=  1    2   2
level=  2    2   2
level=  3    2   2
level=  4    2   2
level=  5    1   1
level=  6    1   1
level=  7    1   1
level=  8    1   1
level=  9    1   1
level= 10    1   1
level= 11    1   1
level= 12    1   1
level= 13    1   1
level= 14    1   1
level= 15    1   1
level= 16    1   1
level= 17    1   1
level= 18    1   1
level= 19    1   1
level= 20    1   1
level= 21    1   1
level= 22    1   1
level= 23    1   1
level= 24    1   1
level= 25    1   1
level= 26    1   1
level= 27    1   1
level= 28    1   1
level= 29    1   1
level= 30    1   1
level= 31    1   1
level= 32    1   1
level= 33    1   1
level= 34    1   1
level= 35    1   1
level= 36    1   1
level= 37    1   1
level= 38    1   1
level= 39    1   1
level= 40    1   1
