k=( 0.00000, 0.00000, 0.00000),
number of irreducible representations:  6
level=  1    0   0   0   1   0   0
level=  2    0   0   0   0   0   1
level=  3    0   0   0   0   1   0
level=  4    1   0   0   0   0   0
level=  5    1   0   0   0   0   0
level=  6    0   0   0   0   1   0
level=  7    0   1   0   0   0   0
level=  8    0   0   0   0   1   0
level=  9    0   0   0   0   0   1
level= 10    0   0   0   0   0   1
level= 11    0   0   1   0   0   0
level= 12    0   0   0   1   0   0
level= 13    0   0   0   1   0   0
level= 14    0   0   0   0   0   1
level= 15    0   0   1   0   0   0
level= 16    0   0   0   0   0   1
level= 17    0   0   0   0   0   1
level= 18    0   0   1   0   0   0
level= 19    1   0   0   0   0   0
level= 20    0   0   0   0   0   1
level= 21    0   0   0   0   1   0
level= 22    0   0   0   1   0   0
level= 23    0   0   1   0   0   0
level= 24    0   0   0   0   0   1
level= 25    0   0   0   1   0   0
level= 26    0   0   0   0   0   1
level= 27    1   0   0   0   0   0
level= 28    0   0   0   0   0   0
 
k=( 0.00000, 0.50000, 0.00000),
number of irreducible representations:  4
level=  1    0   1   0   0
level=  2    0   0   0   1
level=  3    1   0   0   0
level=  4    0   0   1   0
level=  5    0   1   0   0
level=  6    0   0   0   1
level=  7    0   0   0   1
level=  8    0   0   1   0
level=  9    1   0   0   0
level= 10    0   0   0   1
level= 11    0   1   0   0
level= 12    0   0   1   0
level= 13    0   0   1   0
level= 14    0   0   0   1
level= 15    0   0   1   0
level= 16    0   0   1   0
level= 17    0   0   0   1
level= 18    0   0   0   1
level= 19    0   1   0   0
level= 20    0   1   0   0
level= 21    1   0   0   0
level= 22    0   1   0   0
level= 23    1   0   0   0
level= 24    0   0   1   0
level= 25    0   0   0   1
level= 26    0   1   0   0
level= 27    0   0   1   0
level= 28    0   0   1   0
level= 29    1   0   0   0
level= 30    0   1   0   0
level= 31    0   0   0   1
level= 32    1   0   0   0
level= 33    1   0   0   0
level= 34    0   1   0   0
level= 35    0   0   0   1
level= 36    0   1   0   0
level= 37    1   0   0   0
level= 38    0   0   1   0
level= 39    1   0   0   0
level= 40    0   0   0   1
level= 41    0   0   1   0
 
k=( 0.50000, 0.50000, 0.00000),
number of irreducible representations:  4
level=  1    1   1   1   0
level=  2    0   0   0   1
level=  3    1   0   0   0
level=  4    0   0   1   0
level=  5    0   0   0   1
level=  6    0   0   1   0
level=  7    0   1   0   0
level=  8    1   0   0   0
level=  9    0   0   1   0
level= 10    0   0   0   1
level= 11    0   0   0   1
level= 12    0   0   1   0
level= 13    0   0   1   0
level= 14    0   0   0   1
level= 15    0   0   1   0
level= 16    0   0   0   1
level= 17    0   1   0   0
level= 18    1   0   0   0
level= 19    0   1   0   0
level= 20    1   0   0   0
level= 21    0   1   0   0
level= 22    0   0   1   0
level= 23    1   0   0   0
level= 24    0   0   1   0
level= 25    0   0   0   1
level= 26    0   1   0   0
level= 27    1   0   0   0
level= 28    0   0   0   1
level= 29    0   0   1   0
level= 30    1   0   0   0
level= 31    0   1   0   0
level= 32    0   0   0   1
level= 33    1   0   0   0
level= 34    0   1   0   0
level= 35    0   0   0   1
level= 36    0   1   0   0
level= 37    1   0   0   0
level= 38    0   1   0   0
level= 39    0   0   1   0
 
k=( 0.50000, 0.50000, 0.50000),
number of irreducible representations:  6
level=  1    0   0   1   0   0   1
level=  2    0   0   0   0   1   0
level=  3    1   0   0   0   0   0
level=  4    0   1   0   0   0   0
level=  5    1   0   0   0   0   0
level=  6    0   0   0   0   1   0
level=  7    0   0   0   0   1   0
level=  8    0   0   0   0   0   1
level=  9    0   0   1   0   0   0
level= 10    0   0   0   0   0   1
level= 11    0   0   0   1   0   0
level= 12    0   0   0   0   0   1
level= 13    0   0   1   0   0   0
level= 14    0   0   0   0   0   1
level= 15    0   1   0   0   0   0
level= 16    0   0   0   1   0   0
level= 17    0   0   0   0   1   0
level= 18    0   0   0   0   0   1
level= 19    0   0   1   0   0   0
level= 20    0   0   0   0   0   1
level= 21    0   0   0   1   0   0
level= 22    1   0   0   0   0   0
level= 23    0   0   0   0   0   1
level= 24    0   0   0   1   0   0
level= 25    0   0   1   0   0   0
level= 26    0   0   0   0   0   1
level= 27    0   1   0   0   0   0
 
